"asset","asset_type","proposed_package","confidence","lines","exported_functions_detected","rationale"
"R/pttf_operator.R","R","geosmooth","high",817,"print.pttf_operator;pttf.operator;pttf.operator.filter.rows","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/pvalue_utils.R","R","shared","medium",293,"print.weighted.p.summary;weighted.p.value;weighted.p.value.summary","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/quadform_geodesics.R","R","gflow","medium",2763,"quadform.delaunay.geodesic.distances;quadform.edge.length;quadform.edge.lengths;quadform.embed;quadform.experimental.local.reference.geodesics;quadform.gradient;quadform.grid.geodesic.calibration;quadform.grid.geodesic.distances;quadform.metric;quadform.reference.geodesics;quadform.sample.dataset","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/radius_graphs.R","R","gflow","medium",841,"create.adaptive.radius.graph;create.cknn.graph;create.radius.graph;create.rknn.graph;print.adaptive_radius_graph;print.cknn_graph;print.radius_graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/random_sampling.R","R","shared","medium",450,"dlaplace;plaplace;qlaplace;rlaplace;runif.sphere;runif.torus;sample.from.empirical.distribution","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/RcppExports.R","R","shared","medium",127,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/refit_rdgraph_regression.R","R","geosmooth","high",1115,"print.knn.riem.refit;print.summary.knn.riem.refit;refit.rdgraph.regression;summary.knn.riem.refit","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/riem_dcx_regression.R","R","geosmooth","high",2304,"compute.pextrema.nbhds;fit.rdgraph.regression;fitted.knn.riem.fit;print.summary.knn.riem.fit;residuals.knn.riem.fit;summary.knn.riem.fit","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/row_wise_operations.R","R","shared","medium",270,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/scan_resolution.R","R","undecided","low",393,"scan.resolution","Needs manual review."
"R/scan_stability.R","R","undecided","low",652,"scan.stability","Needs manual review."
"R/se_tree.R","R","undecided","low",164,"build.se.tree;print.se_tree","Needs manual review."
"R/select_phylotypes_for_assoc.R","R","gflowx","medium",393,"print.phylotype_selection","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/select_pts.R","R","undecided","low",1202,"select3D.points;select3D.points.html;select3D.points.plotly;select3D.points.profiles;show.profile","Needs manual review."
"R/sknn_graphs.R","R","gflow","medium",475,"create.sknn.graph;print.sknn_graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/slpl_tf.R","R","geosmooth","high",1356,"fit.slpl.tf;predict.slpl_tf;print.slpl_tf_operator;refit.slpl.tf;slpl.tf.operator","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/spline_replacements.R","R","shared","medium",666,"gflow.smooth.spline","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/ssrhe_hessian_energy.R","R","geosmooth","high",3586,"fit.ssrhe.hessian.l1.regression;fit.ssrhe.hessian.regression;fit.ssrhe.hessian.regression.cv;fit.ssrhe.hessian.regression.gcv;print.ssrhe.hessian.cv.fit;print.ssrhe.hessian.fit;print.ssrhe.hessian.gcv.fit;print.ssrhe.hessian.l1.fit;print.ssrhe.hessian.operator;print.ssrhe.hessian.refit;refit.ssrhe.hessian.l1.regression;refit.ssrhe.hessian.regression;ssrhe.hessian.operator;ssrhe.support.grid","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/stats_utils.R","R","shared","medium",4126,"analyze.hierarchical.differences;angle.3D;apply.ceiling;apply.floor;bayes.factors.symbols;boa.overlap;break.composition.ties;centroid.shift;compute.bayesian.effects;compute.mad.threshold;compute.pairwise.bayes.factors;compute.tukey.threshold;cross.prod;derivative.second.order.method;disk.to.sphere;ecdf.cpp;find.elbow.threshold;find.inflection.pts;find.local.minima;gaussian.second.derivative;jaccard.index;knn.weighted.mean;matrix.format;minmax.normalize;normalize.and.inv.logit;overlap.coefficient;pca.variance.analysis;pearson.wcor;prepare.binary.cond.exp;prepare.continuous.outcome;prepare.for.extrema.detection;project.onto.subspace;radial.Lp.transform;Rdensity.distance;restric.to.Linf.unit.sphere;right.winsorize;rm.SS.outliers;robust.log.transform;robust.transform;robust.z.normalize;robust.zscore;scaled.log.tan;shifted.tan;spectral.features;thresholded.sigmoid;winsorize;winsorize.zscore","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/subject_neighborhood_stats.R","R","undecided","low",582,"subject.neighborhood.stats","Needs manual review."
"R/synthetic_data_utils.R","R","shared","medium",3935,"bump.fn;circular.synthetic.mixture.of.gaussians;create.gaussian.mixture;generate.1d.circular.gaussian.mixture;generate.1d.gaussian.mixture;generate.binary.sample.from.gaussian.mixture;generate.circle.data;generate.noisy.circle.embedding;generate.partition;generate.synthetic.function.higher.dim;get.gaussian.mixture;get.gaussian.mixture.2d;ggaussian;left.asymmetric.bump.fn;normalize.and.inv.logit.fn;partition.of.unity.1D;plot.gaussian_mixture;plot.gaussian_mixture_data;plot3D.gaussian_mixture;print.gaussian_mixture;print.summary.gaussian_mixture;qexp.gaussian;remove.close.neighbors;right.asymmetric.bump.fn;skewed.gaussian;summary.gaussian_mixture;synthetic.1D.spline;synthetic.mixture.of.gaussians;synthetic.xD.spline","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/test_disk_feature_distance_association_spt.R","R","gflowx","medium",881,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/test_disk_feature_distance_association.R","R","gflowx","medium",409,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/trajectory_clustering.R","R","gflowx","medium",172,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/trajectory_distances.R","R","gflow","high",814,"frechet.distance.discrete.cost;graph.metric.precompute;hausdorff.distance.cost;lcss.eps.auto.graph;lcss.eps.auto.matchrate.graph;lcss.length.cost;point.dist.matrix;traj.frechet.distance.graph;traj.lcss.distance.graph;traj.local.cost.graph;traj.points;trajectory.dist","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/trajectory_graph_clustering.R","R","gflowx","medium",388,"trajectory.cluster.vertices","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/transported_graph_hessian.R","R","gflow","medium",3639,"print.transported.graph.hessian.operator;transported.graph.hessian.operator","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/tube_lens_corridor.R","R","undecided","low",117,"compute.tube.lens.corridor","Needs manual review."
"R/two_factor_analysis.R","R","gflowx","medium",1261,"analyze.categorical.proportions;analyze.weighted.cst;create.latex.table;summarize.and.test.cst;two.factor.analysis","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/ulogit.R","R","geosmooth","high",550,"eigen.ulogit;predict.eigen.ulogit;print.eigen.ulogit;print.ulogit;ulogit","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/uniform_grid_graph.R","R","gflow","medium",223,"create.grid.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/utils.R","R","shared","medium",199,"elapsed.time;map.values.to.palette;signif_df","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/vars_concordance_along_edges.R","R","gflowx","medium",1121,"plot.concordance.test;print.concordance.test","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/vertex_density.R","R","undecided","low",157,"compute.smoothed.density;compute.vertex.density","Needs manual review."
"R/visualize_mgcp_cluster_single.R","R","gflowx","medium",604,"compare.mgcp.clusters;export.mgcp.cluster;visualize.mgcp.cluster","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/visualize_mgcp_clusters.R","R","gflowx","medium",328,"visualize.mgcp.clusters","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/wasserstein_dist.R","R","gflowx","medium",416,"wasserstein.distance.1D;wasserstein1d.test","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/zzz.R","R","undecided","low",62,"","Needs manual review."
"src/1D_linear_models.cpp","src","undecided","low",1128,"","Needs manual review."
"src/adaptive_grid_paths.cpp","src","gflowx","high",220,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/adaptive_local_logistic.cpp","src","undecided","low",181,"","Needs manual review."
"src/adaptive_radius_graph_ann.cpp","src","gflow","medium",272,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/agemalo_utils.cpp","src","gflowx","high",767,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/agemalo.cpp","src","gflowx","high",766,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/angular_wasserstein_index.cpp","src","gflowx","medium",217,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/bandwidth_utils.cpp","src","shared","medium",81,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/basin_cx.cpp","src","gflow","high",694,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/basin_summary_r.cpp","src","gflow","high",539,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/basin_summary_r.h","src","gflow","high",34,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/bidirectional_dijkstra.cpp","src","gflow","medium",190,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/c_random_sampling.c","src","shared","medium",96,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/c_utils.c","src","shared","medium",284,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/centered_paths.cpp","src","undecided","low",2703,"","Needs manual review."
"src/compute_geodesic_basin.cpp","src","gflow","high",673,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/cpp_io_utils.cpp","src","shared","medium",54,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/cpp_mstrees.cpp","src","gflow","medium",227,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/cpp_stats_utils.cpp","src","shared","medium",470,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/cpp_utils.cpp","src","shared","medium",42,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/density.cpp","src","undecided","low",555,"","Needs manual review."
"src/diffusion_pseudotime_sparse_r.cpp","src","gflow","medium",490,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/Eigen_utils.cpp","src","shared","medium",92,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/fn_graphs_r.cpp","src","gflow","medium",243,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/fn_graphs.cpp","src","gflow","medium",269,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/fns_over_graphs_utils.cpp","src","gflow","medium",850,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/geodesic_iknn_graphs.cpp","src","gflow","medium",348,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/geodesic_stats_r.cpp","src","gflow","medium",527,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/geodesic_stats.cpp","src","gflow","medium",309,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/geometric_edge_pruning.cpp","src","gflow","medium",412,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/gfassoc_membership.cpp","src","gflowx","medium",376,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/gfassoc_polarity.cpp","src","gflowx","medium",531,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/gfassoc_r.cpp","src","gflowx","medium",972,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/gfc_basins_r.cpp","src","gflow","high",150,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gfc_basins.cpp","src","gflow","high",390,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gfc_flow_r.cpp","src","gflow","high",1090,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gfc_flow.cpp","src","gflow","high",1687,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gfc_trajectory_joining.cpp","src","gflow","high",636,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gfc.cpp","src","gflow","high",1190,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gflow_basins_r.cpp","src","gflow","high",750,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gflow_basins.cpp","src","gflow","high",1329,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gflow_cx_r.cpp","src","gflow","high",807,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/gflow_cx.cpp","src","gflow","high",752,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/graph_bw_adaptive_spectral_smoother.cpp","src","geosmooth","high",235,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_conn_components.cpp","src","gflow","medium",190,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_core_endpoints_r.h","src","gflow","medium",37,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_core_endpoints.cpp","src","gflow","medium",1040,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_cv_imputation.cpp","src","gflow","medium",904,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_cycles.cpp","src","gflow","medium",302,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_deg0_lowess_buffer_cv.cpp","src","geosmooth","high",1041,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_deg0_lowess_cv_mat.cpp","src","geosmooth","high",438,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_deg0_lowess_cv.cpp","src","geosmooth","high",579,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_deg0_lowess.cpp","src","geosmooth","high",192,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_edit_distance.cpp","src","gflow","medium",296,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_endpoint_geometry_rcpp.cpp","src","gflow","medium",642,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_gradient_flow.cpp","src","gflow","high",1698,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/graph_kernel_smoother_rcpp.cpp","src","geosmooth","high",95,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_kernel_smoother.cpp","src","geosmooth","high",771,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_kmad.cpp","src","gflow","medium",349,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_kmean.cpp","src","gflow","medium",1831,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_laplacian_eigenvectors.cpp","src","gflow","medium",1937,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_laplacian_fourier.cpp","src","gflow","medium",119,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_maximal_packing_r.cpp","src","gflow","medium",169,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_maximal_packing.cpp","src","gflow","medium",844,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_MS_cx.cpp","src","gflow","medium",1819,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_shortest_path.cpp","src","gflow","medium",548,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_spectral_filter.cpp","src","gflow","medium",539,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_spectral_lowess_utils.cpp","src","geosmooth","high",136,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_spectral_lowess.cpp","src","geosmooth","high",540,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_spectral_ma_lowess.cpp","src","geosmooth","high",497,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/graph_spectrum.cpp","src","gflow","medium",302,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/graph_utils.cpp","src","gflow","medium",670,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/grids.c","src","undecided","low",370,"","Needs manual review."
"src/harmonic_extender.cpp","src","undecided","low",1233,"","Needs manual review."
"src/harmonic_extension_r.cpp","src","geosmooth","high",249,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/harmonic_extension.cpp","src","geosmooth","high",561,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/harmonic_smoother_r.cpp","src","geosmooth","high",378,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/harmonic_smoother.cpp","src","geosmooth","high",758,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/hHN_graphs.cpp","src","gflow","medium",376,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/iknn_graphs.cpp","src","gflow","medium",3412,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/init.c","src","shared","medium",395,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/io_utils.c","src","shared","medium",420,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/io_utils.h","src","shared","medium",29,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/kernel_local_polynomial_cv_rcpp.cpp","src","geosmooth","high",418,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/kernel_utils.cpp","src","shared","medium",79,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/kernels.c","src","shared","medium",452,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/klaps_low_pass_smoother.cpp","src","gflowx","high",542,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/kNN_eigen.cpp","src","undecided","low",349,"","Needs manual review."
"src/kNN.cpp","src","undecided","low",131,"","Needs manual review."
"src/laplacian_bundle.cpp","src","undecided","low",352,"","Needs manual review."
"src/lcor_posterior_r.cpp","src","gflowx","medium",562,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/lcor_r.cpp","src","gflowx","medium",829,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/lcor.cpp","src","gflowx","medium",1286,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/linf_simplex_knn_r.h","src","undecided","low",16,"","Needs manual review."
"src/linf_simplex_knn.cpp","src","undecided","low",420,"","Needs manual review."
"src/linf_simplex_knn.hpp","src","undecided","low",10,"","Needs manual review."
"src/lm.c","src","undecided","low",479,"","Needs manual review."
"src/local_complexity.cpp","src","undecided","low",934,"","Needs manual review."
"src/local_extrema_r.cpp","src","gflow","high",146,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/local_geodesic_pruning_r.h","src","gflow","medium",27,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/local_geodesic_pruning.cpp","src","gflow","medium",726,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/local_pca_charts_rcpp.cpp","src","shared","medium",101,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/local_pca_charts.cpp","src","shared","medium",130,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/local_pca_charts.hpp","src","shared","medium",33,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/lslope_r.cpp","src","gflowx","medium",565,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/lslope_vector_matrix_r.cpp","src","gflowx","medium",253,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/lslope_vector_matrix.cpp","src","gflowx","medium",357,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/lslope.cpp","src","gflowx","medium",531,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/madag_r.cpp","src","undecided","low",641,"","Needs manual review."
"src/madag.cpp","src","undecided","low",700,"","Needs manual review."
"src/Makevars.local","src","shared","medium",2,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/Makevars.win","src","shared","medium",51,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/Makevars.win.local","src","shared","medium",2,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/mean_shift_smoother_rcpp.cpp","src","geosmooth","high",145,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/mean_shift_smoother.cpp","src","geosmooth","high",1958,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/memory_utils.cpp","src","shared","medium",61,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/metric_graph_lowpass_r.h","src","geosmooth","high",46,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/metric_graph_lowpass.cpp","src","geosmooth","high",710,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/mknn_graphs.cpp","src","gflow","medium",608,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/mlm.cpp","src","undecided","low",437,"","Needs manual review."
"src/monotonic_reachability_r.cpp","src","undecided","low",224,"","Needs manual review."
"src/monotonic_reachability.cpp","src","undecided","low",561,"","Needs manual review."
"src/mst_completion_graphs_r.cpp","src","gflow","medium",234,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/mst_completion_graphs.cpp","src","gflow","medium",192,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/mstree_total_length.cpp","src","gflow","medium",106,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/mstree.c","src","gflow","medium",110,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/nerve_cx_r.cpp","src","gflow","medium",299,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/nerve_cx_spectral_filter.cpp","src","gflow","medium",1223,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/nerve_cx.cpp","src","gflow","medium",581,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/openmp_diag.cpp","src","undecided","low",33,"","Needs manual review."
"src/openmp_required.cpp","src","undecided","low",5,"","Needs manual review."
"src/ortho_ulogit.cpp","src","geosmooth","high",305,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/parameterize_circular_graph_r.cpp","src","gflow","medium",103,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/parameterize_circular_graph.cpp","src","gflow","medium",167,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/partition_graph_r.cpp","src","gflow","medium",78,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/partition_graph.cpp","src","gflow","medium",132,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/path_graphs.cpp","src","gflow","medium",1156,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/pgmalo_bb.cpp","src","gflowx","high",1003,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/pgmalo_cv.cpp","src","gflowx","high",749,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/pgmalo.cpp","src","gflowx","high",1408,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/pgmalog_bb.cpp","src","gflowx","high",167,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/pgmalog_cv.cpp","src","gflowx","high",389,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/pgmalog.cpp","src","gflowx","high",1451,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/phate_core_r.cpp","src","gflow","medium",209,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/phate_core_r.h","src","gflow","medium",22,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/predictive_errors.cpp","src","undecided","low",493,"","Needs manual review."
"src/progress_utils.cpp","src","shared","medium",129,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/prune_long_edges.cpp","src","undecided","low",228,"","Needs manual review."
"src/pruning_long_edges.cpp","src","gflow","medium",1740,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/quadform_delaunay_edges.cpp","src","undecided","low",183,"","Needs manual review."
"src/quadform_grid_geodesics.cpp","src","gflow","medium",813,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/random_sampling.cpp","src","shared","medium",540,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/ray_agemalo.cpp","src","gflowx","high",743,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/RcppExports.cpp","src","shared","medium",228,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/riem_dcx_basins.cpp","src","geosmooth","high",202,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_coboundary.cpp","src","geosmooth","high",1255,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_initialization.cpp","src","geosmooth","high",1791,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_posterior_r.cpp","src","geosmooth","high",445,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_regression_r.cpp","src","geosmooth","high",2341,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_regression.cpp","src","geosmooth","high",7568,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/riem_dcx_tie_breaking.cpp","src","geosmooth","high",334,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
